1	Sub1_E	1	US	33.6135	-87.3737	0.2	Inf
2	Sub1_LV	2	US	33.6135	-87.3737	Inf	Inf
3	Sub2_LV	3	US	34.3104	-86.3658	Inf	Inf
4	Sub2_E	4	US	34.3104	-86.3658	0.2	0
5	Sub3_HV	5	US	33.9551	-84.6794	Inf	Inf
6	Sub3_LV	6	US	33.9551	-84.6794	Inf	Inf
7	Sub3_E	7	US	33.9551	-84.6794	0.2	0
8	Sub4_LV	8	US	33.5479	-86.0746	Inf	Inf
9	Sub4_HV	9	US	33.5479	-86.0746	Inf	Inf
10	Sub4_E	10	US	33.5479	-86.0746	1	0
11	Sub5_LV	11	US	32.7051	-84.6634	Inf	Inf
12	Sub5_E	12	US	32.7051	-84.6634	0.1	0
13	Sub5_HV	13	US	32.7051	-84.6634	Inf	Inf
14	Sub6_HV	14	US	33.3773	-82.6188	Inf	Inf
15	Sub6_E	15	US	33.3773	-82.6188	0.1	0
16	Sub7_Switch	16	US	34.2522	-82.8363	Inf	0
17	Sub8_HV	17	US	34.1956	-81.098	Inf	Inf
18	Sub8_E	18	US	34.1956	-81.098	0.1	0
