1	1	2	0	0	0.1	0
2	2	3	0	0	3.525	345
3	3	4	0	0	0.1	0
4	3	4	0	0	0.1	0
5	3	6	0	0	4.665	345
6	3	11	0	0	6.94	345
7	5	6	0	0	0.04	0
8	5	6	0	0	0.04	0
9	6	7	0	0	0.06	0
10	6	7	0	0	0.06	0
11	6	11	0	0	4.049	345
12	8	10	0	0	0.06	0
13	8	10	0	0	0.06	0
14	8	10	0	0	0.1	0
15	8	10	0	0	0.1	0
16	9	10	0	0	0.2	0
17	9	10	0	0	0.2	0
18	9	8	0	0	0.04	0
19	9	8	0	0	0.04	0
20	9	14	0	0	4.666	500
21	9	13	0	0	2.345	500
22	9	13	0	0	2.345	500
23	5	9	0	0	1.986	500
24	2	8	0	0	3.512	345
25	11	12	0	0	0.06	0
26	11	12	0	0	0.06	0
27	13	12	0	0	0.04	0
28	13	12	0	0	0.04	0
29	14	15	0	0	0.15	0
30	14	15	0	0	0.15	0
31	14	16	0	0	1.444	500
32	5	14	0	0	2.924	500
33	5	14	0	0	2.924	500
34	13	14	0	0	2.975	500
35	13	16	0	0	Inf	500
36	17	18	0	0	0.1	0
37	17	18	0	0	0.1	0
38	16	17	0	0	2.324	500
